first_name,last_name,email,hometown,math_score,english_score,literature_score
Tran,Nam,nam.tran82@student.edu.vn,Hanoi,6.1,7.6,6.0
Vu,Hanh,hanh.vu83@student.edu.vn,Can Tho,6.0,5.9,6.1
Vu,Chi,chi.vu84@student.edu.vn,Hanoi,8.4,4.5,6.3
Dang,An,an.dang85@student.edu.vn,Hai Phong,8.9,7.1,5.6
Phan,Dung,dung.phan86@student.edu.vn,Hanoi,6.2,5.9,6.1
Nguyen,Chi,chi.nguyen87@student.edu.vn,Can Tho,5.8,5.7,5.9
Dang,An,an.dang88@student.edu.vn,Da Nang,7.8,4.9,6.0
Tran,Trang,trang.tran89@student.edu.vn,Can Tho,6.2,8.8,8.1
Phan,Trang,trang.phan90@student.edu.vn,Hai Phong,5.0,5.8,5.7
Phan,Chi,chi.phan91@student.edu.vn,Da Nang,7.4,6.0,8.3
Pham,An,an.pham92@student.edu.vn,Can Tho,4.3,5.8,4.9
Tran,Dung,dung.tran93@student.edu.vn,Hanoi,8.5,6.0,4.4
Tran,Hanh,hanh.tran94@student.edu.vn,Hai Phong,5.9,5.6,6.0
Tran,Linh,linh.tran95@student.edu.vn,Hai Phong,6.0,6.4,6.1
Tran,Linh,linh.tran96@student.edu.vn,Da Nang,6.1,6.6,6.2
Le,Hanh,hanh.le97@student.edu.vn,Hai Phong,6.3,6.6,6.2
Do,Khanh,khanh.do98@student.edu.vn,Hai Phong,9.7,6.2,6.8
Vu,An,an.vu99@student.edu.vn,Da Nang,6.0,5.9,6.1
Vu,An,an.vu100@student.edu.vn,Hanoi,5.8,6.0,5.7
