student_id,last_name,first_name,email,date_of_birth,hometown,math_score,literature_score
SV064,Nguyen64,Student64,student64@example.com,2001-06-28,Ha Noi,9.2,4.6
SV065,Nguyen65,Student65,student65@example.com,2004-07-28,Ha Noi,9.8,5.6
SV066,Nguyen66,Student66,student66@example.com,2004-12-09,Ha Noi,6.6,7.1
SV067,Nguyen67,Student67,student67@example.com,2005-05-21,Ha Noi,4.2,9.6
SV068,Nguyen68,Student68,student68@example.com,2002-04-11,Ha Noi,4.3,8.8
SV069,Nguyen69,Student69,student69@example.com,2000-02-04,Ha Noi,6.0,7.4
SV070,Nguyen70,Student70,student70@example.com,2002-01-06,Ha Noi,9.0,6.5
SV071,Nguyen71,Student71,student71@example.com,2003-07-02,Ha Noi,4.1,8.6
SV072,Nguyen72,Student72,student72@example.com,1999-09-19,Ha Noi,8.7,7.2
SV073,Nguyen73,Student73,student73@example.com,2000-06-01,Ha Noi,5.2,8.6
SV074,Nguyen74,Student74,student74@example.com,2004-07-11,Ha Noi,4.4,6.7
SV075,Nguyen75,Student75,student75@example.com,1999-08-10,Ha Noi,9.4,5.3
SV076,Nguyen76,Student76,student76@example.com,2005-02-23,Ha Noi,4.5,7.1
SV077,Nguyen77,Student77,student77@example.com,2002-01-06,Ha Noi,7.6,9.3
SV078,Nguyen78,Student78,student78@example.com,2003-06-27,Ha Noi,6.3,7.6
SV079,Nguyen79,Student79,student79@example.com,1998-12-14,Ha Noi,9.4,8.6
SV080,Nguyen80,Student80,student80@example.com,1998-04-15,Ha Noi,5.9,4.7
SV081,Nguyen81,Student81,student81@example.com,2001-12-31,Ha Noi,9.5,4.1
SV082,Nguyen82,Student82,student82@example.com,2004-07-09,Ha Noi,7.6,5.4
SV083,Nguyen83,Student83,student83@example.com,2003-10-22,Ha Noi,5.0,6.9
SV084,Nguyen84,Student84,student84@example.com,2001-08-12,Ha Noi,7.8,5.9
SV085,Nguyen85,Student85,student85@example.com,2001-01-01,Ha Noi,9.4,8.6
SV086,Nguyen86,Student86,student86@example.com,2005-03-12,Ha Noi,7.5,7.0
SV087,Nguyen87,Student87,student87@example.com,2001-12-23,Ha Noi,5.1,8.7
SV088,Nguyen88,Student88,student88@example.com,2003-07-16,Ha Noi,9.3,6.2
SV089,Nguyen89,Student89,student89@example.com,2005-09-29,Ha Noi,8.6,8.9
SV090,Nguyen90,Student90,student90@example.com,2005-08-22,Ha Noi,6.3,8.6
SV091,Nguyen91,Student91,student91@example.com,2002-03-01,Ha Noi,6.4,9.8
SV092,Nguyen92,Student92,student92@example.com,2004-01-26,Ha Noi,7.2,4.3
SV093,Nguyen93,Student93,student93@example.com,1999-03-29,Ha Noi,5.8,8.8
SV094,Nguyen94,Student94,student94@example.com,2006-01-24,Ha Noi,5.2,6.7
SV095,Nguyen95,Student95,student95@example.com,2000-01-23,Ha Noi,6.6,9.1
SV096,Nguyen96,Student96,student96@example.com,2000-12-22,Ha Noi,4.0,7.9
SV097,Nguyen97,Student97,student97@example.com,2005-01-16,Ha Noi,8.1,7.3
SV098,Nguyen98,Student98,student98@example.com,2005-03-30,Ha Noi,9.7,8.7
SV099,Nguyen99,Student99,student99@example.com,1998-10-16,Ha Noi,5.4,8.8
SV100,Nguyen100,Student100,student100@example.com,2003-05-16,Ha Noi,7.2,8.0
